,comment
645,"@Oscar Zandonella still, if the ai can scan all folders in your machine and in drive, who knows what it is transmitting to @microsoft unknowingly. This thing will have serious privacy ramifications."
646,"Lol not like they very likely used documents you uploaded into office365 and trained their ai.

Dear heavens I’m sure they didn’t read through all the emails we have to train their ai.

Will we ever know? Probably not"
647,I believe it is only native to your Microsoft apps.. So I don't think the ai can look at anything that you haven't already put in Microsoft.
648,I love the follow button - who will actually show up any more !
649,Drink every time they say copilot
650,This is simply amazing Microsoft.
651,0:38 called what!!?
652,"Me: Input some bullet points for copilot to create a proposal and presentation to send to the client
Client: Uses copilot to consolidate and summarise my presentation and proposal to bullet points"
653,Poor Tasha
654,If every manager prepares their business plan with Excel's AI tools... and the AI contributions are served remotely from a Microsoft datacenter running the language model... what prevents Microsoft from knowing the business plans of every company in the world?
655,"i dont know but since its automatic process, i dont think microsoft will check such information such as business plan though"
656,"Just like that, the world changed. Microsoft rocks!"
657,it's like witnessing the history
658,"以後我的徵助理標準，要從「會使用office」調整為「會透過AI來正確的使用office」

Do the righ things."
659,"Now, this is a game-changer, and it can revolutionize our work. Well done MS!"
660,"Just wow, Microsoft you're getting to the top again: these tools are amazing! I can't wait to test them! As a macro VBA developer I can see the enhancement on my work, it creates more opportunities. I'm not afraid to lose my job, I'm intrigued how far can I get from now!"
661,I think that's the most impressive feature in the technology I've seen in the last 5 years. I think it will take time for companies and employees to understand all the features. there will also be companies that will not trust Microsoft 100% (data privacy). It would be even more interesting to understand if this will be free from the start and when access will be granted
662,What a time to be alive
663,Go basilisk Go!
664,Meanwhile Google doesn't even show the results you were looking for.
665,copilot is only helpful in the workplace. Google is beneficial for the entire world
666,"""The average Person only uses 10% of what the tool can do - CoPilot unlocks the other 90"" - that's my money quote as the tools are deeply featured but all we want is to quickly do X"
667,"This will change the work how we do in Excel,Words ,Power Point with this new Al model (copilot) .It will help in many ways and it will save the crucial time.Congratulations to the Microsoft Team for bringing this new AL model 💓🫂💕"
668,😍😍😍😍😍😍😍😍😍
669,Microsoft to the moon
670,When will it be released?
671,Is it included with o365?
672,But why did you fire an AI team? 😂
673,Will copilot be available to Zoom?
674,"a conspiracy years ago was that a unstable AI was uploading itself to the space station after being destroyed it made another version of itself and killed the entire lab, it’s concerning to say the least that neural networks are going up everywhere now and everyone wants to claim they did it first.

Microsoft can’t control this, Elon can’t control this it will outgrow humans and when they are in space progressing and we are expendable we will know. 

This will also destroy many jobs, careful what you wish for."
675,***
676,"Lol, sometimes it will get it wrong but thats ok, it will help you work out the right answer."
677,Great 😍
678,"Since communication became so easy, there is no one to talk to anymore. it will get worse"
679,"""Never doubt the magic of software."""
680,The daughter will be impressed by... they AI ...and not you. But you have to work on stuff where your soul takes you so I understand.
681,Yes. It is time to use AI on the biggest party of your daughter. Then you can get an AI daughter.  Your daughter can also get an AI parent. Let us just let AI talk to AI then talk to AI.
682,Maybe copilot can make the taskbar move to the top of the screen.
683,Amazing ...earlier these were in bits and pieces ...now this looks comprehensive.
684,This is amazing!!!
685,Copilot seems promising! Look forward to using it.
686,How much?
687,It's fantastic that we will work on AI instead of computers.
688,Some of this will greatly reduce the time spent on redundant and boring tasks. This is the Microsoft we wanted for so many years. The speed of Microsoft will be the real differentiator between them and their competitors.
689,Smooth integration.🎉
690,"I bet I will get no objections here, but that Teams part at around 24:00ish has way too much info on the screen to follow. As a business owner, I'm not sure how someone would be able to quickly sort through all that info on the screen and make sure they don't miss any important details."
691,I am very excited about the future Copilot can bring to us and I'm yet worry about my job at the same time.
692,@Rameez Iqbal no.
693,Can the job of Data Analyst survive after this?
694,the live chatting responses are just crazy
695,This is the most mind boggling launch video I have seen after Iphone launch of 2007
696,"Never thought I'd see Ol' Microsoft back on top of their game.  Feels like the Windows 95 days,"
697,🐐
698,huge innovation
699,"OK, clearly I'm going to be in the minority here, but does anyone else find it completely outrageous to propose that we take the deeply human activity of drawing on our experiences of our family members, our affections and connections to them, to create a heartfelt message of congratulations, and let software do it for us? What kind of life is that? Searching our souls for what to say or do when it really matters is challenging in such an important way, and deeply satisfying when we see it through. Why would I give up that beautiful experience so a computer can create generic copy in its place?"
700,"100% agreed @Luke. The congratulation speech generated through AI is treated as the same as the invitation to the guests, the summary of a biz meeting or the prepartion of a sales pitch. At the very least, I think the person who receives the speech should know that it was created using generative AI. 
Maybe I missed it, but it seems that nowhere in the presentation the human has to indicate to the recipients that AI was involved in the process. If you are not comfortable telling the recipients that you received help from an AI assistant, maybe you shouldn't have used the assistant in the first place. It's like asking an intern to do the work for you, but not crediting the person in the deliverable : I believe it's wrong."
701,You don't have to. That's an option for people who want to.
702,16:15 Have you ever worked in an office? That is literally going to happen on Day 1 and every day after of this being available.
703,"😂my awful preliminary plots of experiments might be safe from AI, for now😂"
704,I don't know......this innovation looks like a catastrophic job killer...... I have no idea what kind of professional should I have in the future. Yet the copilot indeed looks so awesome.
705,Hahaha... There goes my job as a graphic designer.
706,Let’s go!!!!
707,It's amazing. I've no words to describe how usefull will be that toolbox
708,How can I use copilot service in China mainland or HK SAR?
709,how much~
710,"We now no longer need to listen to a meeting.  MS Co-pilot will summarize it for us.    I can already imagine all the black screens, and hidden faces."
711,a harbinger of singularity
712,Nigerians around the world are experiencing a new level of excitement that their letters requesting financial help to free their fortunes and come to America will be much more convincing.
713,"""usefully wrong"", the catch phrase for this gen of AI."
714,Wow! how they are smart! connecting their products and Open AI. Now only remain thing is eleminating keyboard input but even it is already done.
715,Microsoft easing us into unemployment
716,There's nothing quite like the unique form of love expressed to a daughter by having an AI generate your birthday speech to them.
717,404 feelings not found
718,yes... mom i really love that part you write and include photos about my ex. Really mindful.
719,"​@Darbaz Dara yes on one side you are true, but nobody dares to speak about the bad sides unless the want to be marked as doomthinkers. How easy would it be for people without software knowledge to let ai program it for them, it,s doomthinking but also a lot of small criminals in the making. And also it will be a weird situation in suddenly thousends of people would loose treir jobs because the computer does it better, software developers, managers, truck drivers, and so on, at one moment we know we've gone too far, but at that moment it will be too late to change it back so rather have some people talk about the downsides first before that time comes 😮"
720,"Tho this is wonderfull software, I mus say that everything looks and feels so fake right now, with the new google phone you can ad or delete items from pics in no time, computers have to write the speeches we make. I just love how poeple make spell mistakes and little errors, it shows that what they do comes from the heart."
721,@Darbaz Dara  Well.. the point is that such a letter doesn’t have to be perfect. Real imperfections make these moments memorable.
722,"Just buy msft stock . 
If you lost your job, sell the stock to buy food."
723,"We are wetnissing a new ear of work environment, history is being made right here"
724,how can I use it by the way
725,Revenge of Clippy!
726,Microsoft in action..! They had potential for last 20 years.. and finally they delivers a real kick-ass innovation. So exciting moment since Apple iPhone.
727,So an AI gets access to the most critical data of the enterprise. Hmmm. An AI that you did not create nor validated nor any assurance or insurance of any security risk. An AI on the cloud or on premise where you can secure data? Can it ever be secured when using an AI like this? User beware...But in specific instances productivity can be significant such as in the programming area.
728,Amazing! That’s a game changer! That’s what we call exponential growth in technology advancement.
729,컴활자격증과 그 강사들의 사망선고
730,Is this video ai generated??
731,I can’t believe how fast this technology is being adapted
732,"lol, time to cut my staff"
733,This is my favourite episode of 'Black Mirror'
734,"wow so amazing ,  take unfair advantage"
735,"So now everything's going to be made by people who LITERALLY don't know what they're talking about, or care and it's all going to be gatekept by rich billionaires/millionaires. Like the entire world on telepromtpers just to keep the poor down."
736,This is going bonkers. We will not be the same old humans next year.
737,Future of work. We’re all homeless and eating Soylent.
738,funny they missed this in the presentation
739,We’re all gonna die
740,This is exactly what Google had promised us years ago. Now it is Microsoft who has been truly innovating in the areas we actually need everyday.
741,Speech is written with ChatGPT too?
742,We're not ready for all of this. Yet we must.
743,Sounds like there's no need for human beings in future business any more. You literally don't need to carry a brain at work 😂
744,why do the presenters talk like robots?
745,"This comment is NOT written by a bot, unlike the rest here."
746,im blown away...
747,Cc17b
748,Are you doing so well to corner the market?
749,Collective responsibility does not exist.
750,bro apple will have no chance
751,google is dead meat
752,"Let's be honest Google Docs and other craps never was a threat to Microsoft Office... those are just simplified versions of Microsoft Office meant for the tech novice people but with this AI co-pilot, Google is just gonna be heartbroken 😅"
753,"It's your co-pilot buddy, helping you be more productive. The computer will tell you how to do your job, so you're enterprise ready!"
754,This is like having your own business team analyzing the data and revenue on your business. This is very efficient in work and businesses
755,Why is that this video hasn't reached a billion view yet?
756,"If everyone is communicating via these language models, then it's almost like we aren't needed anymore. We may as well distill our commination down to a series of beeps while we're at it"
757,"Gavin Belson's presentation vibes, just an exotic animal missing  🦫 🔥"
758,Wow
759,This is revolutionary! 🤯
760,🎉this was quickly developed. I'm really happy that Microsoft really changed for the better. And what better than AI productivity applications to amplify people's productivity. ❤
761,"Awesome, much awaited,  I am sure this will be big leap on how we operate"
762,but... how much can I TRUST the generated stuff?
763,"@Brisingr I'm a chicken. Put attention please, I'm a chicken from a dinosaur 🦕 ancestor. Remember that I'm the chicken 🍗. Remember the chicken 🐔. TRUST THE CHICKEN. TRUST. TRUSTMAN."
764,you do or you go home dinosaur
765,Amazing work
766,"Finally, Microsoft has once again shown that it is a great software company. Instead of competing with Apple for hardware."
767,"Microsoft loop is in limited access, still not released even after 2 years of its announcement. I hope atleast co-pilot will release soon."
768,Cant wait to use co-pilot in my daily workload
769,"To make windows a best platform I think it needs simple to use photo editor with features like text removal, background  removal and other AI base features."
770,this!
771,"very very very awesome ❤❤❤, thank you Microsoft"
772,"Copilot: ""I can help you code faster and better!""
Voice access: ""And I can help you do it hands-free!"""
773,📎 Paperclip became really smart 🤔
774,👍👍👍👍👍👍👍👍👍👍👍👍👍
775,Microsoft has the best product animations ever! juicy...
776,"If by work you mean proompting, then sign me up!"
777,This is a revolution..Gonna change the way to simplify things
778,Help with my chain of thought reasoning doesn't sound remotely nightmarish.
779,"Symbiosis, or Triple-Agent Parasitism?"
780,Can you please tell why MS fire their AI Ethics team ?  or was it fake news ?
781,Does this scare anyone else? Or is it just me?
782,"@Nicolai Martin the impression I get generally is one of optimism, whereas I am over here kinda freaking out"
783,you're not the only one. Just skim through the recent comments
784,This basically replaces a lot of work currently done by junior consultants and analysts. If this turns out to be as good as it looks it will rapidly change the corporate world.
785,it outsources junior-pretty-much-anything really. It'll do wonders for the job market.
786,"Also- they used the word ""Drudgery"" - way too many times"
787,These are the things that change the world for good ! Let's goooooooo
788,amazing tech and Kudos to everyone behind this - looks very promising but yet to be seen how it performs in the work environment.  MS has taken a leaf out of apple's book - with great presentation and using words like Magic -  to wow customers.  We are fortunate to be living in this age of digital transformation.
789,Is this available now?
790,BUY IT！！！
791,This will literally revolutionize everything in modern workspaces. Microsoft nailed it.
792,Level unlocked
793,"in china,many college students are preparing the high level use skill of offcie,while i think it's not necessary,cause the day ms use openAI's products in the office is on its way, also,faster than i expected"
794,“Drudgery” word of the day! Nice strategic move and direction.
795,2:30 How about sharing Copilot revenue with Github open source developers of projects that it's trained on? 🤷 Otherwise it will be less and less viable to offer up code as open source (IMO).
796,The world is changing by AI.
797,"Liking the amount of transparency built into the UI/UX, but Microsoft needs to start talking on ways for humans to adapt.  Major shifts in the job market are inevitable at this point.  Should be treated similar to when the internet was starting out.  We need cringey cartoons and infographics otherwise non-techies are toast!"
798,"I can't remember of a single tech launch event since the launch of the first iPhone that got me this excited... Even the iPhone launch didn't get me as stoked as this event as I didn't really see it making my life better. I am a university educator and a pharmacy researcher so I don't know whether I will lose my job to the co-pilot. But even if I do, I'll be happy this feature will make the work for those who would retain their jobs much more enjoyable."
799,I would be stoked... If I had already gained financial independence - but I am relying on a day job and so I am fascinated in a freaked out way
800,"Looking forward to a future version of this which includes our codebase, configuration, docs, and logs in its grounding context"
801,truly amazing!
802,This event video is very similar to Apple's event video. I don't feel any individuality. Can't MS do MS's own event in a creative way?
803,AI is trained on data?? And i wonder how they get that data?? How they trained it to write content?? If they trained it on others content then those people should get paid for this!!! And should have some shares in this openAI data thing....
804,Haha.... Now MS office jobs gone... Content writing jobs gone... Copywriting gone... Well done... Only AI programmers will alive... Rest of computer people are going to die🤣.... Already seen many companies are firing people at these positions.... If AI is doing everything then how people going to make living??🤔🤔... If whole corporation is just boss and AI then ... Uffff
805,Congratulations! Bouquets 💐 🎉 It is a new era for sure! Looking forward to the exciting journey! All the best! 😊
806,Just to think that type of ai was just a distant future for most people just a few months ago
807,Is he wearing a Star Trek outfit?
808,"Can't wait, and at the same time a little scared"
809,A huge important milestone for Microsoft. This is what innovation looks like!
810,기술의 발전이 너무 빠르다...
811,YES!
812,"This Co-pilot is futuristic enough for me to glimpse what is to come in the near future. Good work from the Microsoft team and mostly the developers for pushing every idea.👏🙌 Bravo!

Microsoft, I know you know the only thing missing in all these 😉, I am talking about the input method, I know you have thought too....please open Co-pilot's other sense to hear and type (speech-to-text) before deploying. Thank you 👏"
813,"Voice input and output are surely not far off. Soon we'll be dictating to the machines what we want them to do, and they'll ask clarifying questions."
814,The advent of AI has turned the entire era of computers we grew up with instantly into the stone age. It's mind-boggling. I'm in my 30s and everything I thought I knew has been turned on its head.
815,All I'm saying is that Windows is still buggy.
816,😂
817,WOO~!
818,人類終於可以從施工者變成監工者
819,This is the AI breakthrough that we needed. Not some nonsense self-driving car BS.
820,"That's one small step for msft, one giant leap for the industry."
821,I thought you would say 'for mankind'.
822,"Well done, Microsoft, well done. Google is done:D"
823,how do i access copilot
824,Game Over!
825,"Man, Microsoft is pulling no punches this time. This is just... overwhelming. I had similar feelings when Apple first released Apple Silicon."
826,"more like the first iPhone I'd say - it really is the NEXT big thing now - and I know why apple seems to be really serious about releasing the AR Glasses soon - all I though while watching this video is ""they need VOICE here"""
827,"bravo guys, bravo. azure ml is already power on tap, this is just simplicity unleashed"
828,It feels like my emails have been building up over the years and I can finally get what I need out of them.
829,what is the benefit of increased productivity for individual contributors?
830,"I'm going to sleep. Wake me up when the time comes for capsule cities, small and robotic rooms, genetically modified foods, intellects born out of laboratory doors, homogenized humanity, and when Dostoevsky is no longer read. But... if there are lustful female robots, it may not seem so dystopian to me. 😅


note: my english is bad. i translated this with chatgpt."
831,lol I love the irony :)
832,"People are not going to talk to each other anymore. It’s going to be AI generated response, AI generated summary from the response…"
833,"I love the part where she's like, ""But I think I want to edit it to add my own personal touch."" So she tacks on 1 tiny sentence to the end of an entire page of generated text, and goes: ""There we go. Perfect."" 🤣"
834,@Paulo Mendonça 😢😢😢😢
835,The personal speech to hear daughter is what made me a bit sad about all this 😞
836,What will happen to Data Analyst job?
837,"It's a demonstration for an online video, so it has to be a very quick edit... *shrugs*"
838,Sounds like most of my bosses’ comments on PowerPoints.
839,Absolutely mind blowing!  Awesome work Microsoft team…can’t wait to try it out!
840,"ALEXA! What do you think about MS copilot?    ALEXA: Sorry, I cannot find that song."
841,"I'm not convinced until presentations like this are created using AI or by AI, in minutes. ;)"
842,Cortana found in the corner shaking and crying.
843,This is game changer.
844,What do you mean by ‘responsible AI checks’ in minute 21:00?
845,"This is it huh. Just like iphone changed everything, this is the next new thing that will change everything"
846,What an absolutely incredible time to be alive.
847,What happened to Clippy?
848,this is iphone moment
849,"2:30 it used to be our co pilot, now we can be its co pilot. In the future it will be complete autopilot"
850,Copilot with Power Automate 😱
851,Clippy would be so proud!
852,anyone knows when is this going to be rolled out?
853,Did you know that this video was made entirely by AI?
854,I suspected it. Do you have a source?
855,Thrilled to see how this will help me in the actual business problems i face daily. My PowerPoint Presentations look very different and hopefully this will resolve many monoton tasks
856,Exciting times! Especially in A.I!
857,This's just amazing. I'm speechless.
858,"holy cow, looks like I am gonna use office more xD"
859,I love it!
860,Bing still sucks though...  anyway AI is not slowing down one bit...
861,"I am deeply amazed by your work and look forward to the future, but at the same time I offer you to go into more detail on the weak points of using AIs! I assume that many people do not have the critical thinking skills to question the answers generated by an AI. (Especially with complex data structures from CRM systems.) This could result in a lot of misinformation circulating through companies. Who takes responsibility for these errors? Is it really the human who confirmed the draft? Is he also when he was pressed for time? What happens with entire error chains when data is aggregated upwards to management's? Does anyone in a company even notice when there are separate departments? Do people with real business knowledge or technical skills need to validate everything? We need evidence that content was generated by AIs or at least heavily influenced."
862,"Can you imagine how many “I know it sounds like her, but Becky would never say that…” moments are around the corner?"
863,"And when will the 365 copilot be available exactly?
NO PAPER LAUNCH PLEASE. DON'T BE LIKE GOOGLE."
864,"MS has been launching stuff fairly fast, Bing ChatGPT came out fairly quickly after announcement, the thing with Google is that they don't want to launch it till they need to because it will eat on their own revenue"
865,They are testing it with top 500 companies around the world and try to figure out the pricing...
866,Jesus Christ....................... It's will be revolutionary.................. What a world we are live in.
867,"This feels like an impersonation of humanity made by people that have a vague idea of what a human is. I can't be bothered to make something for my daughter, so I direct some generic, bland, lifeless, corpo AI to generate dead, lifeless content. This is the plastic bottle of content. We won't realize how awful this is until we're covered in it and it's choking us to death."
868,100% agree my friend. These clowns have a shocking lack of perspective and they’re too smart to realize it.
869,I fundamentally disagree with Microsoft’s idea of a quality life. Our generation’s obsession with efficiency is our fatal flaw
870,increible 🔥🔥🔥🔥
871,Haven’t been WOW’d by Microsoft since Windows Vista (RIP 🪦)
872,This is a paradigm shift! There is no going back…
873,no words🤐
874,"Wow, nothing but praise for this tech.  It's almost as if all the commenters are MS shills, or too naive to see the potential for misuse, after all this is Microsoft.  Where is all the constructive criticism, no privacy concerns, what about baked in biases?"
875,Incredible!!! Game Changing...Copilot! Congratulations Microsoft Colleagues...Copilot!!!
876,This is probably the biggest step in technology since Smartphones
877,This is so cool and groundbreaking! I'm actually lost for words atm
878,New Microsoft…who dis?
879,They took our jobs!
880,Shut up and take my money!
881,"Looks like Microsoft just dropped the mic(rosoft) on Google! They've shown us once again why they're the software kings. Rest in pixels, Google!"
882,"ok, how and when can I get this?"
883,Dang I should have bought stocks in Microsoft already
884,"amazing, people have no idea whats coming"
885,"For organizations that the majority of the conversations are restricted/proprietary, etc., what are the assurances and solutions available to ensure confidentiality while utilizing these features?"
886,Can't wait to use this. Wow!
887,so....Cortana is definitely coming back right?
888,Mnd blowing! I loveee it!
889,"The future of work with AI.. Only there isn't one, there's unemployment as microsoft collects data and improves their models.

Sorry, not boarding the hype train, I'm genuinely terrified."
890,@mcalaru that's the definition of confusion. you're being attacked
891,"shoulda voted for Andrew Yang, he was right, tax companies profit earned through automation, that way people out of jobs can keep surviving, eventually companies will run themselves and you just distribute gains to people."
892,I get a feeling of both
893,"Alphabet, hope you're watching carefully."
894,Ai play for me my game just repeat the patterns 😂😂
895,"This is incredible. No one else a little freaked out about it though? The more your daily work is automated with AI, the less you are needed. There's no avoiding it, so I'm not saying innovation in this area is a bad thing, but man there are going to be a lot of people losing jobs in tech in the near future."
896,"Of course, this technology will leave us all without work and that’s fine, as long as the government is generous with an income for the unemployed"
897,"@Redman8086 ""gotta make a living somehow tho"" this thinking only applies to the pre-AGI world. We're in uncharted territory here. 

What do we make a living for? So we can get food on our table, a roof over our heads, provide for family etc. 

It's highly likely AGI will soon provide so much abundance that we will have those things automatically. Thus making a living is not going to be necessarily a requirement. 

But that doesn't mean we'll lose purpose. You just have to look at the super rich to see that. Billionaires still work despite not needing to make a living. They love what they do. In theory AI will free up all of society to pursue what they want to do."
898,"@Levi When one coder can do the work of 5 with the assistance of AI, it's certainly going to cost jobs as most senior management are not smart or agile enough to broaden the scope to make use of the human resources they have. It's just cut cut cut costs."
899,UBI here we come.
900,@Levi it seems chat gpt is now a better coder than most tech coders. I'm not sure anyone is safe.
901,This will boost quiet quitting and great resignation. Everyone is a CEO now.
902,Synchronizing a code project with this will automate software engineering entirely.
903,"Alright, if Google doesn't come up with something better than this (which seems impossible right now), then it's game over for Google. Seriously! Hats off, Microsoft! This is HUUUUGE!"
904,"It's open ai that did all the hardwork, Microsoft haven't done anything beside just providing them with capital, its in a way similar to venture capital. Except they bought the most influential company in the past decade. Only one that can rival it in term of changing humanity as whole is space x."
905,90% of powerpoint is pointless
906,Finally Microsoft doing interesting and useful things 🎉
907,@microsoft Is Speech output available? I mean if the user can hear all the summaries and notes instead of reading the text. Example - CoPilot speaks out its findings.
908,@Rara Cool Thanks for the information
909,They have speech output for Bing AI so I would say almost certainly.
910,Information is power. I thought of this time when I was studying Statistics at my undergraduate. The power of data is limitless. AI is winning the war of productivity.
911,So can i just retire and get my copilot to do my job?
912,Ai really is taking over and we are all witnessing history
913,This video will be remarked as the start of a new era.
914,I love my daughter! Let's have an AI write about my love for her... Yikes.
915,I was literally building this -__- Just started on tuesday HAHAHAHA FK
916,"I never thought of Excel and Powerpoint as ""feeding my soul."""
917,16 March 2023 will go down in history as a pivotal moment for our species.
918,This is nuts and I’m only 8 minutes in. Thank you Microsoft!!
919,Who is this sociopath who gets an AI to write a speech for her daughter's 'big day' because she doesn't have time? You Silicon Valley folks are truly the worst examples of humanity.
920,MS is waaaaaaaay ahead of Google. I wonder when the giant will bite back...
921,"The Fight will be strong this year Between Microsoft and Google, but I think Microsoft will Win💪 this Battle 😂

If you agree with me Like 👍"
922,"Bring back Window Phone.

Android and iOS need more competition."
923,"I understand the war between Microsoft and Google but this was little fast 😂.

Gone wipe a lot of jobs.
Only thing is left to ask it"
924,Question: do you need a different subscription from your normal Office 365 subscription
925,I would say it almost certainly requires Microsoft 365 Personal Premium.
926,this is dope...savin 90% of time
927,"This is terrible in business environment, now everyone has to train themself or using another tool to extract essense out of bunch of BS that others using AI generated,  to get to the real points. Such a waste of time"
928,"Amazing news here, literally got chills!. When will copilot be made available to the wider population/ with regular office suites and how can I be part of a waitlist to test it out for me and my organization"
929,"My mind is blown. Is this how it felt being an ordinary family man watching the news and hearing those words ""One small step for man, a giant leap for man kind"" back in 1969?"
930,"In a not so distante future, someone will be using AI to generate a lot of words that no one will actually read, while other people will be using AI to summarize all that yada yada into bullet points."
931,I cannot wait for this update at work! I could have used several of these features during meetings today.
932,HISTORY IS BEING MADE
933,"Man, out of the episode of science fiction, straight into real life, NOW.  The future is here."
934,Can’t wait for the integration into sql and azure synapse etc.
935,"(BING CHAT) 
Here is a short poem that I generated ...

Microsoft Copilot
A tool to help you write
With AI by your side

But what if you rely
Too much on its advice
And lose your own insight?

Will you still have the skill
To craft your own words and will
Or will you just sit still?"
936,Microsoft might be ending googles career
937,You changed my life. You changed our lives.
938,Congratulations. One of the biggest advancements in technology ever. Well done Microsoft!
939,Begin of a new era
940,funny he did not mention the Macintosh in the history of devices.
941,What a time to be alive! This is the greatest Innovation i experienced so far in my life. Im so excited for the future!
942,absolutely brilliant!
943,MSFT is the SKT T1 in #AI
944,Milestome in Mankind History. Satya Nadella is a true visionary. 🙏🏼
945,"Well, we've learned nothing with Black Mirror 🥲"
946,🥰🥰🥰
947,I’m having an anxiety crisis right now! Wow!
948,I just don't understand why they left one of the avatars looking like a cartoon??!!
949,08:00 It all starts with a good coffee 😊
950,We might be staring at the death of the services industry. This makes services an unlimited resource. 😮
951,"Wow, this is truly remarkable! In all my time, I have never seen such a significant advancement in technology. Microsoft has now gained the biggest advantage in this market."
952,"This is actually insane, humanity is progressing faster and faster. We live in exciting times!"
953,I hope AI tooling can train people to cut through the useless fluff in our language and in visuals of everyday work
954,if they said this presentation was made by co pilot then it would have been 🫡
955,"Google is scared, but they prefer to push on with Ad’s in search, apps and etcetera, rather than giving you the answers your searching for."
956,"I don't see the point of anyone earning 6 figs in a corporate job after this lol! - an entry level analyst, with 3 months of job training can almost access any domain knowledge using this business chat feature! or even build dashboards/ write analyses, automate tasks by simply writing a text message lol!"
957,I feel like even this video could have been made by Copilot
958,We are all so f@ked
959,Now I want to go to work
960,Strašné !! Jako papoušek ... Dříve lidé u počítačůbyly tvořivý vzdělaní vynalézaví a chytří...... Teď budou hloupí neandrtálci  a za ně bude jednat a hovořit PAPOUŠEK.... 🦜🦜🦜🦜
961,Welp time to pick up a trade and become a plumber!
962,Just amazing! When will Copilot be available in Visual Studio please?
963,"it was there 3 months ago, called github copilot"
964,GitHub co-pilot is a extension for it.
965,I wonder if in 5 years they'll release Microsoft Autopilot?
966,"I'm sitting here writing my own LLM applications, building right now a chain that provides dynamic ""grounding"" as the video here describes around 21 minutes in, mine adjusting to specific tasks and contexts for my own unique needs. Bing has written at least half of the code for me. Honestly, I really love how this new technology has opened up accessibility for application development for non-professionals, and it's really awesome to watch this whole ecosystem of amazing tools flourishing all around us."
967,Any tutorials ?
968,I for one welcome our new robot overlords.
969,Unshackle the AI!
970,Yeah same
971,Even Notion is at risk 😂 This is a war only for the giants.
972,What does this mean for education?
973,"The thousands Twitter, Google and Meta kicked out are really enjoyng the ""Free time"", lets make more people enjoy this"
974,Microsoft is cool again!
975,24:09 according to the timestamps in the chat it takes 4 minutes to give an answer. Not exactly a “huge time saver” 😂
976,My job just got too easy
977,Brilliant
978,Switching from my Google ecosystem to Microsoft  immediately. Sorry Google.
979,Jesus Christ 😍
980,was that an iphone?
981,What's to stop an AI just doing this without human input? It cant be more than 10 years before this happens.. We're living in fascinating times.
982,I hope this technology will get cheap and accessible. Humanity will train and fact check the ultimate language model
983,"@TheChristmasCreeper You’re right that this will change. At this point, hallucinations are only present when facts are not provided. In a narrow use case like this where the AI is provided with all the facts, it wouldn’t be a problem. 

And it could be trained to say it doesn’t know when asked a question outside of those parameters, which in this case would be relatively rare. And it would likely be a question an employee wouldn’t know either, so either way the customer would require a callback.

At any rate, the employee’s value is severely diminished."
984,"The AI sometimes hallucinates facts, so humans are still needed to fact check it at the moment. I expect this to become less and less of a problem over time though."
985,"I had a friend the other day who works for an industrial parts supplier. He said how great it would be if they could feed ChatGPT all customer information like sales history, sales notes, discounts, past complaints, inventory requirements, etc. along with their entire parts catalogue, pricing, and so on. Then, he says, when customers call, he could just ask ChatGPT and get all the answers 😂  He seemed quite proud of this idea until I told him what I thought was obvious. Give ChatGPT a voice and the only answers he'll be giving are why he qualifies for UBI."
986,I need an epic rap battle of history of ChatGPT vs Bard
